respid,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)"
18667,0.077757546976127,-4.275501802344434,-1.6553808067580456,-1.8421088418360057,0.0957084303493168,-4.943790339918438,-2.324310218942035,-0.6750636832098958,0.1882173257967271,-6.734170296930047,-4.64364216464413,-3.209588540745313
18691,0.0600617332667941,-2.880826005736,-0.0777036593510707,-0.4182469925329607,0.0833950860135956,-3.574418313733436,-0.8631494219579302,0.5481866373459142,0.1102650876070044,-3.56317968872377,-1.5245931734632534,-0.3317499869952831
18718,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
18724,0.0672151976350503,-3.189393416249911,-0.5102097795807465,-0.642598181965702,0.1001997183880706,-4.851202407836512,-2.27947086393309,-0.2920912266643891,0.1625023945563762,-5.88925061459793,-3.725566072144229,-2.213397022575605
18743,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
18745,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
18839,0.0886559040000142,-3.4539283660562545,-0.7713694073292074,-0.9166720816092204,0.1195047474422282,-4.78430181905592,-2.119102407169606,-0.4600683529291464,0.2502769603236559,-7.463677535465082,-5.07136501238132,-3.76533212469888
18847,0.0701143773634504,-3.2993805003981374,-0.6039213305950897,-0.7674666236941338,0.1023822588182353,-5.072821734276106,-2.4550385209507835,-0.488247354706128,0.1858456407640765,-6.824049363486399,-4.611579440186188,-3.1726589942279286
18848,0.0781508599543082,-3.031669563164191,-0.3454342569297334,-0.5397885853863253,0.1065876462166343,-4.36577011576166,-1.7883637991689785,-0.0316369140510501,0.1970428339975095,-6.0437626709933365,-3.808366505274592,-2.3929795783727634
18863,0.0773946035764032,-3.1309630217301896,-0.4510920075355186,-0.6108545858225575,0.1071649556409465,-4.709619768848436,-2.143952404093332,-0.464521029720528,0.2083075258447169,-6.731274974841072,-4.412220075807868,-3.148840007241646
18869,0.0659428684336784,-2.911939396932959,-0.2868909851097981,-0.4347606199887521,0.0855719180505836,-3.531768662849312,-0.9565718913609692,0.7549789390054596,0.0978578088341924,-3.233519847508352,-1.2166453315620829,0.2389095542666576
