respid,age,totinc,retinc,hlth,atr_w,atr_r
6759,70,34524.637644128736,34524.637644128736,2,0.08505003622991993,0.08505003622991993
6765,66,49798.12345404139,49798.12345404139,1,0.0985068281293459,0.0985068281293459
6801,65,25100.400096928035,25100.400096928035,1,0.029217508389241007,0.029217508389241007
6810,64,29691.361442786467,33191.432937865626,2,0.08651834215616415,0.052346761956746174
6823,66,80260.40733673163,80260.40733673163,1,0.22372919880744888,0.22372919880744888
6845,64,27800.198341212992,29412.728486349548,1,0.08702077433782777,0.09902242093728285
6852,64,27084.895683676925,27084.895683676925,1,0.13388896318753912,0.13388896318753912
6854,67,14700.0,14700.0,2,0.0,0.0
6871,63,24037.0545183529,24037.0545183529,1,0.08237139544750452,0.08237139544750452
6873,63,46712.0408534512,46712.0408534512,1,0.16299414365706658,0.16299414365706658
6878,70,29949.683363399137,25049.296173823044,1,0.0619878899270279,0.028784141754091944
6892,64,28400.0,28400.0,1,0.0,0.0
6900,66,31202.879342821434,31202.879342821434,2,0.07008920256919982,0.07008920256919982
6906,64,27572.11892569869,27735.47691069149,1,0.08399080421407457,0.08314696272973228
6967,64,16513.318832867575,21299.963484394426,1,0.20887366989741482,0.18797551550871205
6983,66,54877.24060030167,54877.24060030167,1,0.06436636570370098,0.06436636570370098
6987,60,62547.28735550225,62547.28735550225,2,0.16533573429053547,0.16533573429053547
6993,65,27761.226594234147,27761.226594234147,1,0.04823068753743624,0.04823068753743624
7002,67,29970.869154205913,29970.869154205913,1,0.20173743052203785,0.20173743052203785
7029,61,46415.37165339784,46415.37165339784,1,0.0917493528245174,0.0917493528245174
7036,66,59268.47185288801,59268.47185288801,1,0.052574828384631456,0.052574828384631456
7057,60,16500.0,16500.0,1,0.0,0.0
7063,62,34194.609761801585,34194.609761801585,1,0.08992041438642627,0.08992041438642627
7069,61,109312.35498749155,98463.01922007912,1,0.008442269281998045,0.13381174873716403
7078,65,40577.80397733657,40577.80397733657,1,0.043548257339728245,0.043548257339728245
7087,68,16680.0,16680.0,1,0.0,0.0
7094,70,22736.789257927667,22736.789257927667,1,0.07930141479973214,0.07930141479973214
7143,67,38010.66425974402,25738.68380198599,1,0.1708716905305153,0.04953658571038536
7147,60,67785.64515479363,67785.64515479363,1,0.1688068779216782,0.1688068779216782
7175,70,35238.36815545209,35238.36815545209,1,0.09604112205198369,0.09604112205198369
7179,61,48885.28346706966,52943.941256292725,1,0.14998261971935511,0.13172304778355126
7180,60,48060.08449344132,48060.08449344132,1,0.10706053299692728,0.10706053299692728
7185,64,36719.205464066436,29554.114477232557,1,0.12942125775260735,0.08569752396359172
7192,68,55131.11964738458,55131.11964738458,1,0.04534253912858799,0.04534253912858799
7201,64,31917.503021079145,31917.503021079145,1,0.07478690636143948,0.07478690636143948
7210,67,17038.405030511378,23654.57738714255,1,0.10684475451111689,0.008333408339920053
7246,64,40252.57755138612,40252.57755138612,1,0.12699413623070682,0.12699413623070682
7287,67,21519.18570726337,21519.18570726337,1,0.0003025337233096138,0.0003025337233096138
7291,69,36237.05495397137,36237.05495397137,1,0.08388676806630031,0.08388676806630031
7312,60,23549.148868745524,23549.148868745524,1,0.016266262490455242,0.016266262490455242
7332,70,38327.35087914159,38327.35087914159,1,0.12946598862150804,0.12946598862150804
7344,65,42723.306322108314,42723.306322108314,1,0.1409774068025681,0.1409774068025681
7345,70,10000.0,10000.0,1,0.0,0.0
7363,68,38400.66259408594,38400.66259408594,1,0.11524147296085428,0.11524147296085428
7387,65,40193.949166353705,26128.979019583257,1,0.12661578011878713,0.038042538583658025
7390,63,5366.5316278654855,5366.5316278654855,1,0.034531131396307126,0.034531131396307126
7391,63,50417.03811620011,56885.15009155263,1,0.19631285185659267,0.1660776314556217
7392,60,30737.321931093822,23772.802935582502,1,0.08898995539078798,0.08269165489701333
7393,68,13697.940950644794,13697.940950644794,2,0.11227769974371461,0.11227769974371461
7396,63,92251.27873534172,51934.81156308265,1,0.28861800957048045,0.18313629874640458
7409,62,40206.31098770442,40206.31098770442,1,0.15806571695498214,0.15806571695498214
7429,70,61138.88142580998,63908.59935645759,1,0.15362683168169317,0.21223084370990428
7441,62,23500.0,23500.0,1,0.0,0.0
7449,65,41051.638521742665,41051.638521742665,1,0.13216400246150056,0.13216400246150056
7468,66,25207.831252280226,25207.831252280226,1,0.08325392778736275,0.08325392778736275
7474,70,40784.163740280695,40784.163740280695,2,0.13274343661438046,0.13274343661438046
7488,60,15000.0,15000.0,1,0.0,0.0
7491,66,8199.833811240904,8199.833811240904,1,6.755568220084199e-06,6.755568220084199e-06
7496,63,86716.59649207433,57605.812736047235,1,0.189196633483057,0.09837824404179756
7529,64,36779.17858587539,36779.17858587539,1,0.10776073794835346,0.10776073794835346
7532,67,36177.33319747133,11599.952056815118,1,0.07770171561817354,1.3777887693828428e-06
7536,60,47328.3133060205,47328.3133060205,1,0.09440377176313858,0.09440377176313858
7538,68,54084.021189734834,54084.021189734834,1,0.11942072003961156,0.11942072003961156
7540,67,45273.213109558266,45273.213109558266,1,0.11502625040670189,0.11502625040670189
7545,65,12999.337689287486,12999.337689287486,1,1.6982143970921716e-05,1.6982143970921716e-05
7558,61,31950.867033171085,31950.867033171085,1,0.11905745578093191,0.11905745578093191
7567,60,26429.00022384578,32424.080834439614,1,0.11929432289836636,0.09663398609004978
7589,60,71221.27969139548,46140.56765762307,1,0.18426854968840198,0.09047618838953567
7595,62,33786.63824915909,33786.63824915909,1,0.08514985646303648,0.08514985646303648
7607,60,53756.668927615814,53756.668927615814,1,0.11793873648289772,0.11793873648289772
7621,66,29784.234997026684,29784.234997026684,1,0.1080212889325366,0.1080212889325366
7688,61,34122.24305640171,20000.0,1,0.08949976317402222,0.0
7698,70,22603.85544139707,22603.85544139707,1,0.08308762314243356,0.08308762314243356
7699,67,30921.676697292874,30921.676697292874,1,0.09326088617513818,0.09326088617513818
7730,67,15317.849790065866,15317.849790065866,1,0.019863326445705508,0.019863326445705508
7766,69,56678.827444334005,56678.827444334005,1,0.1314015917509332,0.1314015917509332
7790,69,36091.335942263155,36091.335942263155,1,0.05921600560749333,0.05921600560749333
7791,62,34428.09163025594,34428.09163025594,1,0.10523140586870817,0.10523140586870817
7815,68,15210.264347071346,15210.264347071346,1,0.026671504595714723,0.026671504595714723
7836,60,42209.42981089925,49866.89049835977,1,0.08411638173664072,0.04303658793977859
7852,65,9543.901531454221,9543.901531454221,1,0.039127092550882356,0.039127092550882356
7854,70,24800.0,24800.0,1,0.0,0.0
7860,70,27404.43482464291,27404.43482464291,1,0.04603205933999812,0.04603205933999812
7863,66,19000.0,19000.0,1,0.0,0.0
7870,66,40306.829083282144,40306.829083282144,1,0.04109321969639973,0.04109321969639973
7873,68,73091.68963742073,73091.68963742073,1,0.08095900077829336,0.08095900077829336
7907,63,38429.336282310884,13599.254966205639,1,0.08073215030997272,1.8260436523503682e-05
7908,63,9600.0,9600.0,1,0.0,0.0
7911,67,59947.81648066488,59947.81648066488,1,0.15413710631737582,0.15413710631737582
7966,66,41210.383594152096,41210.383594152096,1,0.08178747680194325,0.08178747680194325
7979,70,34577.178540556764,34577.178540556764,1,0.09215212076472662,0.09215212076472662
7987,64,56184.710277497215,56184.710277497215,1,0.2088388196175265,0.2088388196175265
7999,70,62992.41293018089,37061.11877392741,1,0.21947048797972887,0.13445649445090027
8003,62,31560.172197943164,31560.172197943164,1,0.02160475291066419,0.02160475291066419
8006,70,8199.833811240904,8199.833811240904,1,6.755568220084199e-06,6.755568220084199e-06
8008,64,49638.82401005642,25481.74056623384,2,0.19042481171474712,0.021914367286086457
8009,62,40826.85042253668,37821.8200743546,1,0.13072293756583575,0.11164856127517807
8033,62,31970.627716060182,31970.627716060182,1,0.049000777850075436,0.049000777850075436
8039,70,41628.28790954655,39881.339294360776,1,0.1685684749135142,0.15320866144178855
8049,64,19400.0,19400.0,1,0.0,0.0
8051,70,62501.68599869326,62501.68599869326,1,0.2405206995678639,0.2405206995678639
8053,64,32756.02892110761,22479.213268174382,1,0.08037492884820865,0.007566288089685912
8072,63,37790.61549282322,37790.61549282322,1,0.12174529600172587,0.12174529600172587
8077,65,61412.932425131876,61412.932425131876,1,0.20795537396429584,0.20795537396429584
8099,69,29569.237701115042,29569.237701115042,1,0.08831886191813951,0.08831886191813951
8111,68,28531.03926696103,28531.03926696103,1,0.012515987526278808,0.012515987526278808
8122,60,49818.49195168884,49818.49195168884,1,0.041309341975517944,0.041309341975517944
8126,61,26128.979019583257,26128.979019583257,1,0.038042538583658025,0.038042538583658025
8127,67,9538.14523277578,9538.14523277578,1,0.06184168939004223,0.06184168939004223
8144,70,35011.07155569176,35011.07155569176,1,0.11878012197690178,0.11878012197690178
8170,63,57047.031225600185,62714.64467306204,1,0.18671596168618682,0.18259174949188575
8174,67,8935.97804175823,8935.777326358342,1,8.191317776436239e-07,8.306149967887568e-06
8181,69,17000.0,17000.0,1,0.0,0.0
8196,67,57655.41721378205,57655.41721378205,1,0.10679400887745658,0.10679400887745658
8204,62,58066.53696926683,58066.53696926683,1,0.02748317427513232,0.02748317427513232
8206,63,26128.979019583257,26128.979019583257,1,0.038042538583658025,0.038042538583658025
8224,68,59661.69763399365,59661.69763399365,1,0.20431401292335788,0.20431401292335788
8226,65,26808.796986344412,26808.796986344412,1,0.16605864421775912,0.16605864421775912
8231,60,41936.34526100688,29546.657409137184,1,0.14221594304681906,0.06701680094224279
8232,68,5000.0,5000.0,1,0.0,0.0
8234,68,50452.75835425022,50452.75835425022,1,0.10041396832618252,0.10041396832618252
8249,70,19677.21983972551,19677.21983972551,1,0.0020094105327489627,0.0020094105327489627
8258,69,49596.73841910248,49596.73841910248,1,0.10107829347289923,0.10107829347289923
8263,63,48818.677047002355,24322.514735722292,1,0.14793117569395955,0.06498851844295442
8264,69,39033.86121269186,39033.86121269186,1,0.13998566569912763,0.13998566569912763
8270,69,33103.68296393572,33103.68296393572,1,0.09799025886987248,0.09799025886987248
8282,64,7499.881808519085,7499.881808519085,1,5.252898655256512e-06,5.252898655256512e-06
8287,65,4736.46966166522,4736.46966166522,1,0.08308703225566973,0.08308703225566973
8289,60,50659.39681810645,24488.826451975037,1,0.17866911935925495,0.024061863997389472
8290,70,40604.2279835098,40604.2279835098,1,0.08395202042542829,0.08395202042542829
8304,69,39459.136668989995,39459.136668989995,1,0.1088364460829558,0.1088364460829558
8305,61,35892.47668061399,35892.47668061399,1,0.09992942123637125,0.09992942123637125
8310,69,12796.809694915828,12796.809694915828,1,0.17585169070959908,0.17585169070959908
8318,67,15341.089465020832,15341.089465020832,1,0.07353985280821003,0.07353985280821003
8319,61,17094.1202029364,24172.969074285902,1,0.13297663929873638,0.054470500447892575
8322,63,29363.81673223606,29363.81673223606,1,0.0066177457551574986,0.0066177457551574986
8325,69,38232.78253356656,38232.78253356656,1,0.15585308834149134,0.15585308834149134
8326,65,36392.95277514669,36392.95277514669,1,0.10293278898680147,0.10293278898680147
8333,65,45047.06128809082,45047.06128809082,1,0.1421369622484718,0.1421369622484718
8338,68,26256.18355743435,26256.18355743435,1,0.08384684011237224,0.08384684011237224
