respid,female,college,nkids,anykids,university,pexhaust,pbeq,pnhome
4670,0,1.0,2.0,1,0.0,1.0,0.0,0.25
4673,1,1.0,3.0,1,0.0,0.8,1.0,0.5
4697,0,0.0,0.0,0,0.0,0.25,0.85,0.6
4701,0,0.0,3.0,1,1.0,0.0,1.0,0.0
4722,1,1.0,2.0,1,0.0,0.5,0.95,0.0
4727,0,0.0,2.0,1,1.0,0.0,0.5,1.0
4736,0,1.0,2.0,1,0.0,0.0,1.0,1.0
4738,0,0.0,0.0,0,1.0,0.9,0.95,0.99
4746,0,0.0,2.0,1,1.0,0.8,1.0,0.5
4775,0,0.0,4.0,1,0.0,0.0,1.0,0.0
4815,0,0.0,3.0,1,0.0,1.0,0.0,0.5
4816,1,0.0,3.0,1,1.0,0.5,,
4826,1,0.0,3.0,1,1.0,0.0,1.0,0.5
4868,0,0.0,2.0,1,1.0,0.0,1.0,0.25
4893,1,0.0,0.0,0,1.0,1.0,1.0,
4901,0,1.0,1.0,1,0.0,1.0,1.0,0.5
4904,0,0.0,2.0,1,1.0,0.01,0.99,0.1
4919,0,0.0,2.0,1,1.0,0.85,0.0,1.0
4922,0,1.0,3.0,1,0.0,1.0,1.0,0.75
4932,0,0.0,1.0,1,1.0,0.01,0.99,0.51
4936,0,0.0,2.0,1,1.0,,,
4943,0,0.0,0.0,0,0.0,0.0,1.0,0.0
4945,0,0.0,0.0,0,1.0,0.1,0.9,0.1
4957,0,0.0,0.0,0,0.0,0.5,,0.5
4968,0,0.0,2.0,1,1.0,0.0,1.0,0.95
4970,0,0.0,2.0,1,1.0,0.35,1.0,1.0
4984,1,0.0,2.0,1,1.0,0.1,0.9,0.5
4991,0,0.0,0.0,0,0.0,1.0,1.0,0.0
4995,0,0.0,3.0,1,0.0,0.9,0.95,0.1
4998,1,0.0,3.0,1,0.0,0.9,0.1,0.5
5000,0,0.0,2.0,1,1.0,1.0,0.5,0.2
5015,1,1.0,1.0,1,0.0,0.5,0.75,
5041,0,0.0,3.0,1,1.0,0.9,0.2,0.9
5104,0,0.0,0.0,0,1.0,0.05,0.85,
5105,1,0.0,0.0,0,1.0,,1.0,
5110,0,0.0,2.0,1,0.0,,,0.5
5130,1,1.0,2.0,1,0.0,1.0,1.0,
