respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,share_rrsp
14240,1666.0411339049424,3,0,1,315000.0,0.0,550000.0,0.9523809523809523
14261,3922.9483782185284,1,1,1,115000.0,0.0,450000.0,0.6521739130434783
14262,4942.474513256949,7,1,1,500000.0,0.0,550000.0,1.0
14317,3306.360982332038,2,1,1,313842.7196759811,0.0,620000.0,0.776958343745333
14340,6226.779569658952,2,1,1,0.0,0.0,300000.0,0.0
14384,4942.474513256949,6,1,1,20000.0,0.0,450000.0,0.0
14388,580.936724934376,8,1,1,375000.0,0.0,500000.0,0.8533333333333334
14421,3223.604382708034,11,1,1,37603.74052688293,0.0,1110000.0,0.9925714357337097
14427,6226.779569658952,2,1,1,500000.0,0.0,300000.0,1.0
14452,4942.474513256949,7,0,1,150000.0,0.0,225000.0,0.8333333333333334
14456,4851.619932747694,2,0,1,284497.47103810223,140000.0,150000.0,0.9297006053269224
14474,967.2736886617231,9,1,1,584000.0,0.0,375000.0,0.8561643835616438
14476,1321.982893522959,2,1,1,575000.0,0.0,750000.0,0.8695652173913043
14749,3306.360982332038,2,1,1,400000.0,0.0,400000.0,0.75
14770,4427.977115973115,3,0,1,348000.0,0.0,380000.0,0.7844827586206896
14777,949.5838434120577,3,1,1,500000.0,0.0,1450000.0,1.0
14788,1278.4983244321725,1,1,1,700000.0,0.0,2000000.0,0.7142857142857143
14817,949.5838434120577,3,1,1,650000.0,0.0,2000000.0,0.7692307692307693
14820,688.7628253365825,4,1,1,500000.0,0.0,2000000.0,1.0
14829,3922.9483782185284,1,1,1,175000.0,0.0,950000.0,0.5714285714285714
14834,949.5838434120577,3,1,1,250000.0,0.0,1700000.0,0.8
14838,1278.4983244321725,1,1,1,60000.0,300094.35027114477,800000.0,0.8333333333333334
14842,949.5838434120577,3,0,1,200000.0,0.0,700000.0,0.8
14860,1278.4983244321725,1,1,1,650000.0,0.0,1200000.0,0.7692307692307693
14862,2341.501344690914,5,1,1,270000.0,0.0,400000.0,0.5925925925925926
14864,949.5838434120577,3,1,1,650000.0,0.0,2000000.0,0.7692307692307693
14921,897.8346892314378,1,1,1,560000.0,0.0,1000000.0,0.8928571428571429
14951,1278.4983244321725,1,0,1,110000.0,0.0,900000.0,0.5454545454545454
14958,580.936724934376,8,1,1,625600.0,0.0,575000.0,0.7992327365728901
14968,897.8346892314378,1,1,1,122027.11020671664,0.0,800000.0,0.0
14974,949.5838434120577,3,1,1,600000.0,0.0,2000000.0,0.8333333333333334
14982,4851.619932747694,2,0,1,0.0,90000.0,300000.0,0.0
15003,688.7628253365825,4,1,1,570000.0,0.0,1200000.0,0.8771929824561403
15012,3223.604382708034,11,1,1,600000.0,0.0,900000.0,0.8333333333333334
15015,949.5838434120577,3,1,1,350000.0,0.0,1400000.0,0.7142857142857143
15034,897.8346892314378,1,1,1,600000.0,0.0,1300000.0,0.8333333333333334
15056,3223.604382708034,3,1,1,300000.0,420000.0,1500000.0,1.0
15066,1278.4983244321725,1,0,1,437723.3465829342,0.0,650000.0,0.9334955533461968
